Note: 


Addr	Number	Disass
4031ec	2	jnz 0x403210
4031ee	1	test edx, edx
4031f0	1	jnz 0x4032a0
4031fc	1	sub rcx, rdi
4031ff	1	mov dword ptr [rbx+0x80], 0x1
403209	1	mov qword ptr [rbx+0x78], rcx
40320d	1	nop dword ptr [rax], eax
403210	20	add ebp, 0x1
403213	20	test edx, edx
403215	20	jnz 0x403240
403225	20	test r12d, r12d
403228	20	jnz 0x4031a0
40322e	10	test edx, edx
403230	10	jnz 0x403298
403235	10	and ecx, 0x1
403238	10	jmp 0x4031b1
403240	20	add rsi, 0x38
403244	20	cmp r13w, bp
403248	20	mov qword ptr [rbx+0x70], rsi
40324c	20	jnz 0x403225
40324e	2	test edx, edx
403250	2	movzx r13d, r13w
403254	2	jnz 0x4032c0
403266	1	mov qword ptr [rbx+0x28], rax
40326a	1	add rsp, 0x8
40326e	1	pop rbx
40326f	1	pop rbp
403270	1	pop r12
403272	1	pop r13
403274	1	ret 
403278	10	mov ecx, dword ptr [rsi+0x4]
40327b	10	jmp 0x4031ab
403280	12	mov rcx, qword ptr [rsi+0x20]
403284	12	mov rdx, qword ptr [rsi+0x8]
403288	12	mov rsi, qword ptr [rsi+0x10]
40328c	12	jmp 0x4031c6
403298	10	mov ecx, dword ptr [rsi+0x4]
40329b	10	jmp 0x403235
4032a0	1	mov rcx, qword ptr [rsi+0x10]
4032a4	1	mov rdi, qword ptr [rsi+0x8]
4032a8	1	jmp 0x4031fc
4032b0	2	movzx r13d, word ptr [rax+0x38]
4032b5	2	jmp 0x403184
4032c0	2	mov rcx, r13
4032c3	2	lea rdx, ptr [rsi+r13*8]
4032c7	2	shl rcx, 0x6
4032cb	2	sub rdx, rcx
4032ce	2	test r12d, r12d
4032d1	2	mov qword ptr [rbx+0x70], rdx
4032d5	2	jz 0x403266
4032d7	1	mov qword ptr [rbx+0x30], rax
4032db	1	add rsp, 0x8
4032df	1	pop rbx
4032e0	1	pop rbp
4032e1	1	pop r12
4032e3	1	pop r13
4032e5	1	ret 
4032f0	1	push r15
4032f2	1	mov ecx, 0x4
4032f7	1	push r14
4032f9	1	push r13
4032fb	1	push r12
4032fd	1	push rbp
4032fe	1	mov rbp, rdi
403301	1	push rbx
403302	1	sub rsp, 0x18
403306	1	mov rdx, qword ptr [rdi+0x20]
40330a	1	mov edi, 0x407c0b
40330f	1	mov rsi, rdx
403312	4	rep cmpsb byte ptr [rsi], byte ptr [rdi]
403314	1	setnbe sil
403318	1	setb cl
40331b	1	xor eax, eax
40331d	1	cmp sil, cl
403320	1	jnz 0x403334
403322	1	movzx ecx, byte ptr [rdx+0x4]
403326	1	cmp cl, 0x1
403329	1	jz 0x4034d0
40332f	1	cmp cl, 0x2
403332	1	jz 0x403348
403334	1	add rsp, 0x18
403338	1	pop rbx
403339	1	pop rbp
40333a	1	pop r12
40333c	1	pop r13
40333e	1	pop r14
403340	1	pop r15
403342	1	ret 
403348	1	movzx ecx, byte ptr [rdx+0x7]
